Block,Address,Latitude,Longitude
041XX W 31ST ST,"04100 W 31ST ST, Chicago, IL",41.8382416,-87.6308076
040XX W DIVISION ST,"04000 W DIVISION ST, Chicago, IL",41.9030657,-87.6842046
005XX E 50TH ST,"00500 E 50TH ST, Chicago, IL",41.8030859,-87.6119864
019XX W MADISON ST,"01900 W MADISON ST, Chicago, IL",41.88184,-87.6281596077555
027XX W FLOURNOY ST,"02700 W FLOURNOY ST, Chicago, IL",41.872544,-87.7248679
0000X E 94TH ST,"00000 E 94TH ST, Chicago, IL",41.7241722,-87.5852774
058XX N WINTHROP AVE,"05800 N WINTHROP AVE, Chicago, IL",41.9763558,-87.6578137
012XX W DIVISION ST,"01200 W DIVISION ST, Chicago, IL",41.9030657,-87.6842046
025XX W 38TH ST,"02500 W 38TH ST, Chicago, IL",41.8253488,-87.6412263
079XX S EXCHANGE AVE,"07900 S EXCHANGE AVE, Chicago, IL",41.7554987,-87.5561413
045XX S WESTERN BLVD,"04500 S WESTERN BLVD, Chicago, IL",41.9891529,-87.92450620494728
0000X W 69TH ST,"00000 W 69TH ST, Chicago, IL",41.768939,-87.625824
018XX S CLINTON ST,"01800 S CLINTON ST, Chicago, IL",41.87485085,-87.64171947624223
015XX W BIRCHWOOD AVE,"01500 W BIRCHWOOD AVE, Chicago, IL",42.0174293,-87.6877607
012XX W 74TH ST,"01200 W 74TH ST, Chicago, IL",41.7600093,-87.6280544
010XX E 111TH ST,"01000 E 111TH ST, Chicago, IL",41.6927412,-87.6105191
0000X W 68TH ST,"00000 W 68TH ST, Chicago, IL",41.7701202,-87.6858484
016XX W 69TH ST,"01600 W 69TH ST, Chicago, IL",41.768939,-87.625824
026XX E 78TH ST,"02600 E 78TH ST, Chicago, IL",41.7533981,-87.5784651
072XX S PAULINA ST,"07200 S PAULINA ST, Chicago, IL",41.7566736,-87.6660272
066XX S HERMITAGE AVE,"06600 S HERMITAGE AVE, Chicago, IL",41.7430193,-87.6668783
061XX S RACINE AVE,"06100 S RACINE AVE, Chicago, IL",41.8758843,-87.6593253
010XX W 68TH ST,"01000 W 68TH ST, Chicago, IL",41.7701202,-87.6858484
016XX W 64TH ST,"01600 W 64TH ST, Chicago, IL",41.7772524,-87.6957809
057XX S HOYNE AVE,"05700 S HOYNE AVE, Chicago, IL",41.7756762,-87.6762424
016XX W 63RD ST,"01600 W 63RD ST, Chicago, IL",41.778750450000004,-87.66352759569489
058XX S SANGAMON ST,"05800 S SANGAMON ST, Chicago, IL",41.5188269,-87.6392719
010XX W 71ST ST,"01000 W 71ST ST, Chicago, IL",41.7644615,-87.6979181
068XX S ADA ST,"06800 S ADA ST, Chicago, IL",41.688590250000004,-87.65417111669652
085XX S MORGAN ST,"08500 S MORGAN ST, Chicago, IL",41.6903117,-87.6667156
107XX S AVENUE C,"10700 S AVENUE C, Chicago, IL",41.6978328,-87.5959083
055XX S LOWE AVE,"05500 S LOWE AVE, Chicago, IL",41.5201911,-87.6320743
005XX W 61ST ST,"00500 W 61ST ST, Chicago, IL",41.7825765,-87.6326975
008XX W GARFIELD BLVD,"00800 W GARFIELD BLVD, Chicago, IL",41.7948343,-87.6186919
074XX S HARVARD AVE,"07400 S HARVARD AVE, Chicago, IL",41.6724719,-87.6309062
020XX W 70TH ST,"02000 W 70TH ST, Chicago, IL",41.7659896,-87.7175305
067XX S HERMITAGE AVE,"06700 S HERMITAGE AVE, Chicago, IL",41.7430193,-87.6668783
063XX S WALLACE ST,"06300 S WALLACE ST, Chicago, IL",41.7265414,-87.63884234937642
062XX S ASHLAND AVE,"06200 S ASHLAND AVE, Chicago, IL",41.778750450000004,-87.66352759569489
032XX N NOTTINGHAM AVE,"03200 N NOTTINGHAM AVE, Chicago, IL",41.7137815,-87.7961571
0000X E 8TH ST,"00000 E 8TH ST, Chicago, IL",41.8718484,-87.6259263
069XX S CALUMET AVE,"06900 S CALUMET AVE, Chicago, IL",41.8558139,-87.6191142
036XX W NORTH AVE,"03600 W NORTH AVE, Chicago, IL",41.88890145,-87.62642538975453
008XX E 90TH ST,"00800 E 90TH ST, Chicago, IL",41.7310627,-87.6119516
006XX W CHICAGO AVE,"00600 W CHICAGO AVE, Chicago, IL",41.78468745,-87.60074932651055
012XX N STATE PKWY,"01200 N STATE PKWY, Chicago, IL",41.93186,-87.67079
019XX N CLIFTON AVE,"01900 N CLIFTON AVE, Chicago, IL",41.916173,-87.6577935
045XX N ROCKWELL ST,"04500 N ROCKWELL ST, Chicago, IL",41.9994641,-87.6948197
005XX W BELDEN AVE,"00500 W BELDEN AVE, Chicago, IL",41.922444,-87.7438166
014XX S TRUMBULL AVE,"01400 S TRUMBULL AVE, Chicago, IL",41.8002881,-87.7098776
082XX S COMMERCIAL AVE,"08200 S COMMERCIAL AVE, Chicago, IL",41.7237552,-87.55955663804349
079XX S SAGINAW AVE,"07900 S SAGINAW AVE, Chicago, IL",41.7354453,-87.5596831
071XX S EBERHART AVE,"07100 S EBERHART AVE, Chicago, IL",41.6579243,-87.6107052
015XX N CLARK ST,"01500 N CLARK ST, Chicago, IL",41.884899149999995,-87.63047295399495
002XX E PERSHING RD,"00200 E PERSHING RD, Chicago, IL",41.82379649321934,-87.62135344463039
017XX E 69TH ST,"01700 E 69TH ST, Chicago, IL",41.7694645,-87.6081292
074XX S COTTAGE GROVE AVE,"07400 S COTTAGE GROVE AVE, Chicago, IL",41.7803222,-87.605917
013XX W 76TH ST,"01300 W 76TH ST, Chicago, IL",41.7555663,-87.6819609
079XX S EBERHART AVE,"07900 S EBERHART AVE, Chicago, IL",41.6579243,-87.6107052
016XX W SCHOOL ST,"01600 W SCHOOL ST, Chicago, IL",41.910902899999996,-87.63092189584373
077XX S INGLESIDE AVE,"07700 S INGLESIDE AVE, Chicago, IL",41.782269,-87.6027218
078XX S HALSTED ST,"07800 S HALSTED ST, Chicago, IL",41.875474,-87.6496755
075XX S COTTAGE GROVE AVE,"07500 S COTTAGE GROVE AVE, Chicago, IL",41.7803222,-87.605917
019XX W BALMORAL AVE,"01900 W BALMORAL AVE, Chicago, IL",41.9799925,-87.6588841
073XX S DAMEN AVE,"07300 S DAMEN AVE, Chicago, IL",41.96642555,-87.67886237188931
022XX S HAMLIN AVE,"02200 S HAMLIN AVE, Chicago, IL",41.9737701,-87.7232845
001XX W 113TH PL,"00100 W 113TH PL, Chicago, IL",41.6875661,-87.6544053
039XX W MC LEAN AVE,"03900 W MC LEAN AVE, Chicago, IL",41.9181748,-87.719251
032XX W BEACH AVE,"03200 W BEACH AVE, Chicago, IL",42.432683,-87.832934
001XX W RANDOLPH ST,"00100 W RANDOLPH ST, Chicago, IL",41.8841478,-87.6633102
007XX N LA SALLE DR,"00700 N LA SALLE DR, Chicago, IL",41.9120477,-87.6332453
007XX E 90TH ST,"00700 E 90TH ST, Chicago, IL",41.7310627,-87.6119516
065XX S WOODLAWN AVE,"06500 S WOODLAWN AVE, Chicago, IL",41.78468745,-87.60074932651055
044XX N MOBILE AVE,"04400 N MOBILE AVE, Chicago, IL",41.9484227,-87.7839201
050XX S SEELEY AVE,"05000 S SEELEY AVE, Chicago, IL",41.7907133,-87.6754211
021XX S HALSTED ST,"02100 S HALSTED ST, Chicago, IL",41.875474,-87.6496755
072XX S ABERDEEN ST,"07200 S ABERDEEN ST, Chicago, IL",41.5051895,-87.6424053
044XX N CLARK ST,"04400 N CLARK ST, Chicago, IL",41.884899149999995,-87.63047295399495
004XX W SURF ST,"00400 W SURF ST, Chicago, IL",41.9341091,-87.67167879641227
076XX S MARSHFIELD AVE,"07600 S MARSHFIELD AVE, Chicago, IL",41.7394158,-87.6643752
005XX S KOSTNER AVE,"00500 S KOSTNER AVE, Chicago, IL",41.8040967,-87.7332732
067XX S CORNELL AVE,"06700 S CORNELL AVE, Chicago, IL",41.7460394,-87.5841676
073XX N DAMEN AVE,"07300 N DAMEN AVE, Chicago, IL",41.96642555,-87.67886237188931
001XX E WACKER DR,"00100 E WACKER DR, Chicago, IL",41.887613,-87.62542243010853
031XX W CERMAK RD,"03100 W CERMAK RD, Chicago, IL",41.8532388,-87.6253371
018XX N CENTRAL AV OVERPASS,"01800 N CENTRAL AV OVERPASS, Chicago, IL",41.91307453675494,-87.76570017550146
048XX N SHERIDAN RD,"04800 N SHERIDAN RD, Chicago, IL",41.9543201,-87.654435
029XX N MASON AVE,"02900 N MASON AVE, Chicago, IL",41.9876076,-87.776699
007XX W JACKSON BLVD,"00700 W JACKSON BLVD, Chicago, IL",41.8781142,-87.6399711
019XX N CENTRAL AV OVERPASS,"01900 N CENTRAL AV OVERPASS, Chicago, IL",41.915016571527104,-87.76571044745486
023XX S CANAL ST,"02300 S CANAL ST, Chicago, IL",41.8786824,-87.64040777429742
012XX W CHASE AVE,"01200 W CHASE AVE, Chicago, IL",42.0139796,-87.66242562117927
013XX S BLUE ISLAND AVE,"01300 S BLUE ISLAND AVE, Chicago, IL",41.850409,-87.6708698
057XX W BELMONT AVE,"05700 W BELMONT AVE, Chicago, IL",41.9397964,-87.6533276
014XX N LAKE SHORE DR,"01400 N LAKE SHORE DR, Chicago, IL",41.89155285,-87.61226454858122
038XX W LAWRENCE AVE,"03800 W LAWRENCE AVE, Chicago, IL",41.9689268,-87.6584393
008XX E 80TH ST,"00800 E 80TH ST, Chicago, IL",41.7484686,-87.6682421
006XX W 51ST ST,"00600 W 51ST ST, Chicago, IL",41.8019141,-87.6185232
001XX W 109TH ST,"00100 W 109TH ST, Chicago, IL",41.6959551,-87.6449263
036XX E 114TH ST,"03600 E 114TH ST, Chicago, IL",41.6882298,-87.5407046
011XX E 82ND ST,"01100 E 82ND ST, Chicago, IL",41.7458203,-87.6026016
014XX N MONTICELLO AVE,"01400 N MONTICELLO AVE, Chicago, IL",41.926404,-87.7182809
035XX N ELSTON AVE,"03500 N ELSTON AVE, Chicago, IL",41.9925224,-87.7828785
033XX N SHEFFIELD AVE,"03300 N SHEFFIELD AVE, Chicago, IL",41.9137458,-87.6532173
070XX S COTTAGE GROVE AVE,"07000 S COTTAGE GROVE AVE, Chicago, IL",41.7803222,-87.605917
006XX W DIVISION ST,"00600 W DIVISION ST, Chicago, IL",41.9030657,-87.6842046
009XX N HUDSON AVE,"00900 N HUDSON AVE, Chicago, IL",41.9032239,-87.6401576
037XX W 13TH ST,"03700 W 13TH ST, Chicago, IL",41.8652473,-87.6554937
070XX S WOODLAWN AVE,"07000 S WOODLAWN AVE, Chicago, IL",41.78468745,-87.60074932651055
067XX S EAST END AVE,"06700 S EAST END AVE, Chicago, IL",41.4915954,-87.6343234
064XX S CALUMET AVE,"06400 S CALUMET AVE, Chicago, IL",41.8558139,-87.6191142
074XX S EXCHANGE AVE,"07400 S EXCHANGE AVE, Chicago, IL",41.7554987,-87.5561413
063XX S VERNON AVE,"06300 S VERNON AVE, Chicago, IL",41.6995708,-87.6123367
050XX N LAWNDALE AVE,"05000 N LAWNDALE AVE, Chicago, IL",41.9937374,-87.7213988
080XX S WOLCOTT AVE,"08000 S WOLCOTT AVE, Chicago, IL",41.859608,-87.6736141
041XX W 28TH ST,"04100 W 28TH ST, Chicago, IL",41.8435541,-87.6421758
021XX N CENTRAL AV OVERPASS,"02100 N CENTRAL AV OVERPASS, Chicago, IL",41.91879687297897,-87.76583228697707
009XX W 87TH ST,"00900 W 87TH ST, Chicago, IL",41.7373351,-87.6002968
013XX S TRIPP AVE,"01300 S TRIPP AVE, Chicago, IL",41.8579604,-87.8391854
081XX S HONORE ST,"08100 S HONORE ST, Chicago, IL",41.8983943,-87.6737959462829
048XX S ST LAWRENCE AVE,"04800 S ST LAWRENCE AVE, Chicago, IL",41.9689268,-87.6584393
075XX S WINCHESTER AVE,"07500 S WINCHESTER AVE, Chicago, IL",41.7538463,-87.6720239
089XX S ESSEX AVE,"08900 S ESSEX AVE, Chicago, IL",42.315241,-87.858772
039XX W LEXINGTON ST,"03900 W LEXINGTON ST, Chicago, IL",41.8720197,-87.6909268
060XX S ALBANY AVE,"06000 S ALBANY AVE, Chicago, IL",41.9754637,-87.71399710307045
064XX W WABANSIA AVE,"06400 W WABANSIA AVE, Chicago, IL",41.9121257,-87.6897142
013XX N WELLS ST,"01300 N WELLS ST, Chicago, IL",41.8826344,-87.6338448
011XX N MAYFIELD AVE,"01100 N MAYFIELD AVE, Chicago, IL",41.8840284,-87.7719172
058XX W ERIE ST,"05800 W ERIE ST, Chicago, IL",41.8939535,-87.63753
030XX W ARMITAGE AVE,"03000 W ARMITAGE AVE, Chicago, IL",41.9182415,-87.6526308
010XX N PAULINA ST,"01000 N PAULINA ST, Chicago, IL",41.9067532,-87.670035
008XX N HOYNE AVE,"00800 N HOYNE AVE, Chicago, IL",41.9154356,-87.6800379
035XX S RHODES AVE,"03500 S RHODES AVE, Chicago, IL",41.8275284,-87.6144232
079XX S BURNHAM AVE,"07900 S BURNHAM AVE, Chicago, IL",41.7450315,-87.55642
021XX N WHIPPLE ST,"02100 N WHIPPLE ST, Chicago, IL",41.9887101,-87.7054023
053XX N MAGNET AVE,"05300 N MAGNET AVE, Chicago, IL",41.9785122,-87.771786
093XX S STEWART AVE,"09300 S STEWART AVE, Chicago, IL",41.5029932,-87.6258097
030XX S WELLS ST,"03000 S WELLS ST, Chicago, IL",41.8826344,-87.6338448
0000X W 59TH ST,"00000 W 59TH ST, Chicago, IL",41.7863273,-87.6332879
033XX W 79TH ST,"03300 W 79TH ST, Chicago, IL",41.7509067,-87.6277942
039XX W MADISON ST,"03900 W MADISON ST, Chicago, IL",41.88184,-87.6281596077555
064XX S EVANS AVE,"06400 S EVANS AVE, Chicago, IL",42.0339478,-87.6793832
026XX E 75TH ST,"02600 E 75TH ST, Chicago, IL",41.7589634,-87.5687994
046XX N WINTHROP AVE,"04600 N WINTHROP AVE, Chicago, IL",41.9763558,-87.6578137
046XX S ROCKWELL ST,"04600 S ROCKWELL ST, Chicago, IL",41.75802405,-87.69734720470694
016XX N WESTERN AVE,"01600 N WESTERN AVE, Chicago, IL",41.8891569,-87.6881496036317
082XX S ELLIS AVE,"08200 S ELLIS AVE, Chicago, IL",41.78468745,-87.60074932651055
026XX W SCHUBERT AVE,"02600 W SCHUBERT AVE, Chicago, IL",41.9302826,-87.6957732
089XX S WALLACE ST,"08900 S WALLACE ST, Chicago, IL",41.7265414,-87.63884234937642
020XX W 68TH PL,"02000 W 68TH PL, Chicago, IL",41.7687204,-87.7176112
006XX E MARQUETTE RD,"00600 E MARQUETTE RD, Chicago, IL",41.7262664,-87.5582834
022XX S SPAULDING AVE,"02200 S SPAULDING AVE, Chicago, IL",41.8512776,-87.7076724
078XX S STATE ST,"07800 S STATE ST, Chicago, IL",41.8755546,-87.6244212
053XX S GREENWOOD AVE,"05300 S GREENWOOD AVE, Chicago, IL",41.8106384,-87.5992864
001XX S RIVERSIDE PLZ,"00100 S RIVERSIDE PLZ, Chicago, IL",41.882389950000004,-87.63884248025262
061XX S KIMBARK AVE,"06100 S KIMBARK AVE, Chicago, IL",41.7258859,-87.5924576
038XX W DEVON AVE,"03800 W DEVON AVE, Chicago, IL",41.9974984,-87.7035092
062XX S WESTERN AVE,"06200 S WESTERN AVE, Chicago, IL",41.94596335,-87.6878605
001XX N LAVERGNE AVE,"00100 N LAVERGNE AVE, Chicago, IL",41.88373,-87.7502849
0000X W MADISON ST,"00000 W MADISON ST, Chicago, IL",41.88184,-87.6281596077555
032XX W 87TH ST,"03200 W 87TH ST, Chicago, IL",41.7373351,-87.6002968
003XX W 79TH ST,"00300 W 79TH ST, Chicago, IL",41.7509067,-87.6277942
106XX S MICHIGAN AVE,"10600 S MICHIGAN AVE, Chicago, IL",41.7016054,-87.620685
022XX N LAVERGNE AVE,"02200 N LAVERGNE AVE, Chicago, IL",41.88373,-87.7502849
046XX W DIVERSEY AVE,"04600 W DIVERSEY AVE, Chicago, IL",41.9308213,-87.8009806
017XX N KARLOV AVE,"01700 N KARLOV AVE, Chicago, IL",41.8846593,-87.7282233
